,TagTog,Text
578,Disgust,"Ô dieux ! certes, des lâches veulent coucher dans le lit d'un brave ! Ainsi une biche a déposé dans le repaire d'un lion robuste ses faons nouveau-nés et qui tètent, tandis qu'elle va paître sur les hauteurs ou dans les vallées herbues ; et voici que le lion, rentrant dans son repaire, tue misérablement tous les faons. Ainsi Odysseus leur fera subir une mort misérable. Plaise au père Zeus, à Athènè, à Apollôn, qu'Odysseus se mêle aux Prétendants tel qu'il était dans Lesbos bien bâtie, quand se levant pour lutter contre le Philomèléide, il le terrassa rudement. Tous les Akhaiens s'en réjouirent. La vie des Prétendants serait brève et leurs noces seraient amères ! Mais les choses que tu me demandes en me suppliant, je te les dirai sans te rien cacher, telles que me les a dites le Vieillard véridique de la mer. Je te les dirai toutes et je ne te cacherai rien"
579,Joy,"Ô dieux ! certes, des lâches veulent coucher dans le lit d'un brave ! Ainsi une biche a déposé dans le repaire d'un lion robuste ses faons nouveau-nés et qui tètent, tandis qu'elle va paître sur les hauteurs ou dans les vallées herbues ; et voici que le lion, rentrant dans son repaire, tue misérablement tous les faons. Ainsi Odysseus leur fera subir une mort misérable. Plaise au père Zeus, à Athènè, à Apollôn, qu'Odysseus se mêle aux Prétendants tel qu'il était dans Lesbos bien bâtie, quand se levant pour lutter contre le Philomèléide, il le terrassa rudement. Tous les Akhaiens s'en réjouirent. La vie des Prétendants serait brève et leurs noces seraient amères ! Mais les choses que tu me demandes en me suppliant, je te les dirai sans te rien cacher, telles que me les a dites le Vieillard véridique de la mer. Je te les dirai toutes et je ne te cacherai rien"
580,Fear,"Malgré mon désir du retour, les dieux me retinrent en Aigyptiè, parce que je ne leur avais point offert les hécatombes qui leur étaient dues. Les Dieux, en effet, ne veulent point que nous oubliions leurs commandements. Et il y a une île, au milieu de la mer onduleuse, devant l'Aigyptiè, et on la nomme Pharos, et elle est éloignée d'autant d'espace qu'une nef creuse, que le vent sonore pousse en poupe, peut en franchir en un jour entier. Et dans cette île il y a un port excellent d'où, après avoir puisé une eau profonde, on traîne à la mer les nefs égales. Là, les dieux me retinrent vingt jours, et les vents marins ne soufflèrent point qui mènent les nefs sur le large dos de la mer. Et mes vivres étaient déjà épuisés, et l'esprit de mes hommes était abattu, quand une déesse me regarda et me prit en pitié, la fille du Vieillard de la mer, de l'illustre Prôteus, Eidothéè. Et je touchai son âme, et elle vint au-devant de moi tandis que j'étais seul, loin de mes compagnons qui, sans cesse, erraient autour de l'île, pêchant à l'aide des hameçons recourbés, car la faim tourmentait leur ventre. Et, se tenant près de moi, elle parla ainsi :"
581,Sadness,"Malgré mon désir du retour, les dieux me retinrent en Aigyptiè, parce que je ne leur avais point offert les hécatombes qui leur étaient dues. Les Dieux, en effet, ne veulent point que nous oubliions leurs commandements. Et il y a une île, au milieu de la mer onduleuse, devant l'Aigyptiè, et on la nomme Pharos, et elle est éloignée d'autant d'espace qu'une nef creuse, que le vent sonore pousse en poupe, peut en franchir en un jour entier. Et dans cette île il y a un port excellent d'où, après avoir puisé une eau profonde, on traîne à la mer les nefs égales. Là, les dieux me retinrent vingt jours, et les vents marins ne soufflèrent point qui mènent les nefs sur le large dos de la mer. Et mes vivres étaient déjà épuisés, et l'esprit de mes hommes était abattu, quand une déesse me regarda et me prit en pitié, la fille du Vieillard de la mer, de l'illustre Prôteus, Eidothéè. Et je touchai son âme, et elle vint au-devant de moi tandis que j'étais seul, loin de mes compagnons qui, sans cesse, erraient autour de l'île, pêchant à l'aide des hameçons recourbés, car la faim tourmentait leur ventre. Et, se tenant près de moi, elle parla ainsi :"
582,Fear,"– Tu es grandement insensé, ô étranger, ou tu as perdu l'esprit, ou tu restes ici volontiers et tu te plais à souffrir, car, certes, voici longtemps que tu es retenu dans l'île, et tu ne peux trouver aucune fin à cela, et le coeur de tes compagnons s'épuise."
583,Surprise,"Tu es grandement insensé, ô étranger, ou tu as perdu l'esprit, ou tu restes ici volontiers et tu te plais à souffrir, car, certes, voici longtemps que tu es retenu dans l'île, et tu ne peux trouver aucune fin à cela, et le coeur de tes compagnons s'épuise"
584,Fear,"Je te dirai avec vérité, qui que tu sois entre les déesses, que je ne reste point volontairement ici ; mais je dois avoir offensé les Immortels qui habitent le large Ouranos. Dis-moi donc, car les dieux savent tout, quel est celui des immortels qui me retarde en route et qui s'oppose à ce que je retourne en fendant la mer poissonneuse."
585,Fear,"Ô étranger, je te répondrai avec vérité. C'est ici qu'habite le véridique Vieillard de la mer, l'immortel Prôteus Aigyptien qui connaît les profondeurs de toute la mer et qui est esclave de Poseidaôn. On dit qu'il est mon père et qu'il m'a engendrée. Si tu peux le saisir par ruse, il te dira ta route et comment tu retourneras à travers la mer poissonneuse ; et, de plus, il te dira, ô enfant de Zeus, si tu le veux, ce qui est arrivé dans tes demeures, le bien et le mal, pendant ton absence et ta route longue et difficile."
586,Surprise,"Ô étranger, je te répondrai avec vérité. C'est ici qu'habite le véridique Vieillard de la mer, l'immortel Prôteus Aigyptien qui connaît les profondeurs de toute la mer et qui est esclave de Poseidaôn. On dit qu'il est mon père et qu'il m'a engendrée. Si tu peux le saisir par ruse, il te dira ta route et comment tu retourneras à travers la mer poissonneuse ; et, de plus, il te dira, ô enfant de Zeus, si tu le veux, ce qui est arrivé dans tes demeures, le bien et le mal, pendant ton absence et ta route longue et difficile."
587,Fear,"Maintenant, explique-moi les ruses du Vieillard, de peur que, me voyant, il me prévienne et m'échappe, car un dieu est difficile à dompter pour un homme mortel."
588,Surprise,"Maintenant, explique-moi les ruses du Vieillard, de peur que, me voyant, il me prévienne et m'échappe, car un dieu est difficile à dompter pour un homme mortel."
589,Fear,"Ô étranger, je te répondrai avec vérité. Quand Hèlios atteint le milieu de l'Ouranos, alors le véridique Vieillard marin sort de la mer, sous le souffle de Zéphyros, et couvert d'une brume épaisse. Étant sorti, il s'endort sous les grottes creuses. Autour de lui, les phoques sans pieds de la belle Halosydnè, sortant aussi de la blanche mer, s'endorment, innombrables, exhalant l'âcre odeur de la mer profonde. Je te conduirai là, au lever de la lumière, et je t'y placerai comme il convient, et tu choisiras trois de tes compagnons parmi les plus braves qui sont sur tes nefs aux bancs de rameurs. Maintenant, je te dirai toutes les ruses du Vieillard"
590,Surprise,"Ô étranger, je te répondrai avec vérité. Quand Hèlios atteint le milieu de l'Ouranos, alors le véridique Vieillard marin sort de la mer, sous le souffle de Zéphyros, et couvert d'une brume épaisse. Étant sorti, il s'endort sous les grottes creuses. Autour de lui, les phoques sans pieds de la belle Halosydnè, sortant aussi de la blanche mer, s'endorment, innombrables, exhalant l'âcre odeur de la mer profonde. Je te conduirai là, au lever de la lumière, et je t'y placerai comme il convient, et tu choisiras trois de tes compagnons parmi les plus braves qui sont sur tes nefs aux bancs de rameurs. Maintenant, je te dirai toutes les ruses du Vieillard."
591,Fear,"D'abord il comptera et il examinera les phoques ; puis, les ayant séparés par cinq, il se couchera au milieu d'eux comme un berger au milieu d'un troupeau de brebis. Dès que vous le verrez presque endormi, alors souvenez-vous de votre courage et de votre force, et retenez-le malgré son désir de vous échapper, et ses efforts. Il se fera semblable à toutes les choses qui sont sur la terre, aux reptiles, à l'eau, au feu ardent ; mais retenez-le vigoureusement et serrez-le plus fort. Mais quand il t'interrogera lui-même et que tu le verras tel qu'il était endormi, n'use plus de violence et lâche le Vieillard. Puis, ô Héros, demande-lui quel dieu t'afflige, et il te dira comment retourner à travers la mer poissonneuse."
592,Surprise,"D'abord il comptera et il examinera les phoques ; puis, les ayant séparés par cinq, il se couchera au milieu d'eux comme un berger au milieu d'un troupeau de brebis. Dès que vous le verrez presque endormi, alors souvenez-vous de votre courage et de votre force, et retenez-le malgré son désir de vous échapper, et ses efforts. Il se fera semblable à toutes les choses qui sont sur la terre, aux reptiles, à l'eau, au feu ardent ; mais retenez-le vigoureusement et serrez-le plus fort. Mais quand il t'interrogera lui-même et que tu le verras tel qu'il était endormi, n'use plus de violence et lâche le Vieillard. Puis, ô Héros, demande-lui quel dieu t'afflige, et il te dira comment retourner à travers la mer poissonneuse."
593,Fear,"Qui d'entre les dieux, fils d'Atreus, t'a instruit, afin que tu me saisisses malgré moi ? Que désires-tu ?"
594,Disgust,"Qui d'entre les dieux, fils d'Atreus, t'a instruit, afin que tu me saisisses malgré moi ? Que désires-tu ?"
595,Fear,"Tu le sais, Vieillard. Pourquoi me tromper en m'interrogeant ? Depuis longtemps déjà je suis retenu dans cette île, et je ne puis trouver fin à cela, et mon coeur s'épuise. Dis-moi donc, car les dieux savent tout, quel est celui des immortels qui me détourne de ma route et qui m'empêche de retourner à travers la mer poissonneuse ?"
596,Disgust,"Tu le sais, Vieillard. Pourquoi me tromper en m'interrogeant ? Depuis longtemps déjà je suis retenu dans cette île, et je ne puis trouver fin à cela, et mon coeur s'épuise. Dis-moi donc, car les dieux savent tout, quel est celui des immortels qui me détourne de ma route et qui m'empêche de retourner à travers la mer poissonneuse ?"
597,Fear,"Avant tout, tu devais sacrifier à Zeus et aux autres dieux, afin d'arriver très promptement dans ta patrie, en naviguant sur la noire mer. Ta destinée n'est point de revoir tes amis ni de regagner ta demeure bien construite et la terre de la patrie, avant que tu ne sois retourné vers les eaux du fleuve Aigyptos tombé de Zeus, et que tu n'aies offert de sacrées hécatombes aux dieux immortels qui habitent le large Ouranos. Alors les dieux t'accorderont la route que tu désires."
598,Surprise,"Avant tout, tu devais sacrifier à Zeus et aux autres dieux, afin d'arriver très promptement dans ta patrie, en naviguant sur la noire mer. Ta destinée n'est point de revoir tes amis ni de regagner ta demeure bien construite et la terre de la patrie, avant que tu ne sois retourné vers les eaux du fleuve Aigyptos tombé de Zeus, et que tu n'aies offert de sacrées hécatombes aux dieux immortels qui habitent le large Ouranos. Alors les dieux t'accorderont la route que tu désire"
599,Surprise,"Je ferai toutes ces choses, Vieillard, ainsi que tu me le recommandes ; mais dis-moi, et réponds avec vérité, s'ils sont revenus sains et saufs avec leurs nefs tous les Akhaiens que Nestôr et moi nous avions laissés en partant de Troiè, ou si quelqu'un d'entre eux a péri d'une mort soudaine, dans sa nef, ou dans les bras de ses amis, après la guerre ?"
600,Fear,"Atréide, ne m'interroge point, car il ne te convient pas de connaître ma pensée, et je ne pense pas que tu restes longtemps sans pleurer, après avoir tout entendu. Beaucoup d'Akhaiens ont été domptés, beaucoup sont vivants. Tu as vu toi-même les choses de la guerre. Deux chefs des Akhaiens cuirassés d'airain ont péri au retour ; un troisième est vivant et retenu au milieu de la mer large. Aias a été dompté sur sa nef aux longs avirons. Poseidaôn le conduisit d'abord vers les grandes roches de Gyras et le sauva de la mer ; et sans doute il eût évité la mort, bien que haï d'Athènè, s'il n'eût dit une parole impie et s'il n'eût commis une action mauvaise. Il dit que, malgré les dieux, il échapperait aux grands flots de la mer. Et Poseidaôn entendit cette parole orgueilleuse, et, aussitôt, de sa main robuste saisissant le trident, il frappa la roche de Gyras et la fendit en deux ; et une partie resta debout, et l'autre, sur laquelle Aias s'était réfugié, tomba et l'emporta dans la grande mer onduleuse. C'est ainsi qu'il périt, ayant bu l'eau salée."
601,Joy,"Atréide, ne m'interroge point, car il ne te convient pas de connaître ma pensée, et je ne pense pas que tu restes longtemps sans pleurer, après avoir tout entendu. Beaucoup d'Akhaiens ont été domptés, beaucoup sont vivants. Tu as vu toi-même les choses de la guerre. Deux chefs des Akhaiens cuirassés d'airain ont péri au retour ; un troisième est vivant et retenu au milieu de la mer large. Aias a été dompté sur sa nef aux longs avirons. Poseidaôn le conduisit d'abord vers les grandes roches de Gyras et le sauva de la mer ; et sans doute il eût évité la mort, bien que haï d'Athènè, s'il n'eût dit une parole impie et s'il n'eût commis une action mauvaise. Il dit que, malgré les dieux, il échapperait aux grands flots de la mer. Et Poseidaôn entendit cette parole orgueilleuse, et, aussitôt, de sa main robuste saisissant le trident, il frappa la roch"
602,Joy,"Atréide, ne m'interroge point, car il ne te convient pas de connaître ma pensée, et je ne pense pas que tu restes longtemps sans pleurer, après avoir tout entendu. Beaucoup d'Akhaiens ont été domptés, beaucoup sont vivants. Tu as vu toi-même les choses de la guerre. Deux chefs des Akhaiens cuirassés d'airain ont péri au retour ; un troisième est vivant et retenu au milieu de la mer large. Aias a été dompté sur sa nef aux longs avirons. Poseidaôn le conduisit d'abord vers les grandes roches de Gyras et le sauva de la mer ; et sans doute il eût évité la mort, bien que haï d'Athènè, s'il n'eût dit une parole impie et s'il n'eût commis une action mauvaise. Il dit que, malgré les dieux, il échapperait aux grands flots de la mer. Et Poseidaôn entendit cette parole orgueilleuse, et, aussitôt, de sa main robuste saisissant le trident, il frappa la roche de Gyras et la fendit en deux ; et une partie resta debout, et l'autre, sur laquelle Aias s'était réfugié, tomba et l'emporta dans la grande mer onduleuse. C'est ainsi qu'il périt, ayant bu l'eau salée."
603,Fear,"Ton frère évita la mort et il s'échappa sur sa nef creuse, et la vénérable Hèrè le sauva ; mais à peine avait-il vu le haut cap des Maléiens, qu'une tempête, l'ayant saisi, l'emporta, gémissant, à l'extrémité du pays où Thyestès habitait autrefois, et où habitait alors le Thyestade Aigisthos. Là, le retour paraissait sans danger, et les dieux firent changer les vents et regagnèrent leurs demeures. Et Agamemnôn, joyeux, descendit sur la terre de la patrie, et il la baisait, et il versait des larmes abondantes parce qu'il l'avait revue avec joie. Mais une sentinelle le vit du haut d'un rocher où le traître Aigisthos l'avait placée, lui ayant promis en récompense deux talents d'or. Et, de là, elle veillait depuis toute une année, de peur que l'Atréide arrivât en secret et se souvint de sa force et de son courage. Et elle se hâta d'aller l'annoncer, dans ses demeures, au prince des peuples. Aussitôt Aigisthos médita une embûche rusée, et il choisit, parmi le peuple, vingt hommes très braves, et il les plaça en embuscade, et, d'un autre côté, il ordonna de préparer un repas. Et lui-même il invita, méditant de honteuses actions, le prince des peuples Agamemnôn à le suivre avec ses chevaux et ses chars. Et il mena ainsi à la mort l'Atréide imprudent, et il le tua pendant le repas, comme on égorge un boeuf à l'étable. Et aucun des compagnons d'Agamemnôn ne fut sauvé, ni même ceux d'Aigisthos ; et tous furent égorgés dans la demeure royale"
604,Joy,"Ton frère évita la mort et il s'échappa sur sa nef creuse, et la vénérable Hèrè le sauva ; mais à peine avait-il vu le haut cap des Maléiens, qu'une tempête, l'ayant saisi, l'emporta, gémissant, à l'extrémité du pays où Thyestès habitait autrefois, et où habitait alors le Thyestade Aigisthos. Là, le retour paraissait sans danger, et les dieux firent changer les vents et regagnèrent leurs demeures. Et Agamemnôn, joyeux, descendit sur la terre de la patrie, et il la baisait, et il versait des larmes abondantes parce qu'il l'avait revue avec joie. Mais une sentinelle le vit du haut d'un rocher où le traître Aigisthos l'avait placée, lui ayant promis en récompense deux talents d'or. Et, de là, elle veillait depuis toute une année, de peur que l'Atréide arrivât en secret et se souvint de sa force et de son courage. Et elle se hâta d'aller l'annoncer, dans ses demeures, au prince des peuples. Aussitôt Aigisthos médita une embûche rusée, et il choisit, parmi le peuple, vingt hommes très braves, et il les plaça en embuscade, et, d'un autre côté, il ordonna de préparer un repas. Et lui-même il invita, méditant de honteuses actions, le prince des peuples Agamemnôn à le suivre avec ses chevaux et ses chars. Et il mena ainsi à la mort l'Atréide imprudent, et il le tua pendant le repas, comme on égorge un boeuf à l'étable. Et aucun des compagnons d'Agamemnôn ne fut sauvé, ni même ceux d'Aigisthos ; et tous furent égorgés dans la demeure royale"
605,Surprise,"Ne pleure point davantage, ni plus longtemps, sans agir, fils d'Atreus, car il n'y a en cela nul remède ; mais tente plutôt très promptement de regagner la terre de la patrie. Ou tu saisiras Aigisthos encore vivant, ou Orestès, te prévenant, l'aura tué, et tu seras présent au repas funèbre."
606,Joy,"Ne pleure point davantage, ni plus longtemps, sans agir, fils d'Atreus, car il n'y a en cela nul remède ; mais tente plutôt très promptement de regagner la terre de la patrie. Ou tu saisiras Aigisthos encore vivant, ou Orestès, te prévenant, l'aura tué, et tu seras présent au repas funèbr"
607,Fear,"Je connais maintenant la destinée de ceux-ci mais nomme-moi le troisième, celui qui, vivant ou mort, est retenu au milieu de la mer large. Je veux le connaître, quoique plein de tristesse."
608,Sadness,"Je connais maintenant la destinée de ceux-ci mais nomme-moi le troisième, celui qui, vivant ou mort, est retenu au milieu de la mer large. Je veux le connaître, quoique plein de tristesse."
609,Fear,"C'est le fils de Laertès qui avait ses demeures dans Ithakè. Je l'ai vu versant des larmes abondantes dans l'île et dans les demeures de la nymphe Kalypsô qui le retient de force ; et il ne peut regagner la terre de la patrie. Il n'a plus en effet de nefs armées d'avirons ni de compagnons qui puissent le reconduire sur le large dos de la mer. Pour toi, ô divin Ménélaos, ta destinée n'est point de subir la Moire et la mort dans Argos nourrice de chevaux ; mais les dieux t'enverront dans la prairie Élysienne, aux bornes de la terre, là où est le blond Rhadamanthos. Là, il est très facile aux hommes de vivre. Ni neige, ni longs hivers, ni pluie ; mais toujours le Fleuve Okéanos envoie les douces haleines de Zéphyros, afin de rafraîchir les hommes. Et ce sera ta destinée, parce que tu possèdes Hélénè et que tu es gendre de Zeus."
610,Surprise,"C'est le fils de Laertès qui avait ses demeures dans Ithakè. Je l'ai vu versant des larmes abondantes dans l'île et dans les demeures de la nymphe Kalypsô qui le retient de force ; et il ne peut regagner la terre de la patrie. Il n'a plus en effet de nefs armées d'avirons ni de compagnons qui puissent le reconduire sur le large dos de la mer. Pour toi, ô divin Ménélaos, ta destinée n'est point de subir la Moire et la mort dans Argos nourrice de chevaux ; mais les dieux t'enverront dans la prairie Élysienne, aux bornes de la terre, là où est le blond Rhadamanthos. Là, il est très facile aux hommes de vivre. Ni neige, ni longs hivers, ni pluie ; mais toujours le Fleuve Okéanos envoie les douces haleines de Zéphyros, afin de rafraîchir les hommes. Et ce sera ta destinée, parce que tu possèdes Hélénè et que tu es gendre de Zeus."
611,Fear,"Atréide, ne me retiens pas ici plus longtemps. Certes, je consumerais toute une année assis auprès de toi, que je n'aurais le regret ni de ma demeure, ni de mes parents, tant je suis profondément charmé de tes paroles et de tes discours ; mais déjà je suis un souci pour mes compagnons dans la divine Pylos, et tu me retiens longtemps ici. Mais que le don, quel qu'il soit, que tu désires me faire, puisse être emporté et conservé. Je ne conduirai point de chevaux dans Ithakè, et je te les laisserai ici dans l'abondance. Car tu possèdes de vastes plaines où croissent abondamment le lotos, le souchet et le froment, et l'avoine et l'orge. Dans Itakhè il n'y a ni routes pour les chars, ni prairies ; elle nourrit plutôt les chèvres que les chevaux et plaît mieux aux premières. Aucune des îles qui s'inclinent à la mer n'est grande, ni munie de prairies, et Ithakè par-dessus toutes."
612,Surprise,"Atréide, ne me retiens pas ici plus longtemps. Certes, je consumerais toute une année assis auprès de toi, que je n'aurais le regret ni de ma demeure, ni de mes parents, tant je suis profondément charmé de tes paroles et de tes discours ; mais déjà je suis un souci pour mes compagnons dans la divine Pylos, et tu me retiens longtemps ici. Mais que le don, quel qu'il soit, que tu désires me faire, puisse être emporté et conservé. Je ne conduirai point de chevaux dans Ithakè, et je te les laisserai ici dans l'abondance."
613,Fear,"Tu es d'un bon sang, cher enfant, puisque tu parles ainsi. Je changerai ce présent, car je le puis. Parmi tous les trésors qui sont dans ma demeure je te donnerai le plus beau et le plus précieux. Je te donnerai un beau kratère tout en argent et dont les bords sont ornés d'or. C'est l'ouvrage de Hèphaistos, et le héros illustre, roi des Sidônes, quand il me reçut dans sa demeure, à mon retour, me le donna ; et je veux te le donner."
614,Surprise,"Tu es d'un bon sang, cher enfant, puisque tu parles ainsi. Je changerai ce présent, car je le puis. Parmi tous les trésors qui sont dans ma demeure je te donnerai le plus beau et le plus précieux. Je te donnerai un beau kratère tout en argent et dont les bords sont ornés d'or. C'est l'ouvrage de Hèphaistos, et le héros illustre, roi des Sidônes, quand il me reçut dans sa demeure, à mon retour, me le donna ; et je veux te le donner."
615,Disgust,"Antinoos, savons-nous, ou non, quand Tèlémakhos revient de la sablonneuse Pylos ? Il est parti, emmenant ma nef dont j'ai besoin pour aller dans la grande Élis, où j'ai douze cavales et de patients mulets encore indomptés dont je voudrais mettre quelques-uns sous le joug."
616,Disgust,"Antinoos, savons-nous, ou non, quand Tèlémakhos revient de la sablonneuse Pylos ? Il est parti, emmenant ma nef dont j'ai besoin pour aller dans la grande Élis, où j'ai douze cavales et de patients mulets encore indomptés dont je voudrais mettre quelques-uns sous le joug."""
617,Fear,"Dis-moi avec vérité quand il est parti, et quels jeunes hommes choisis dans Ithakè l'ont suivi. Sont-ce des mercenaires ou ses esclaves ? Ils ont donc pu faire ce voyage ! Dis-moi ceci avec vérité, afin que je sache s'il t'a pris ta nef noire par force et contre ton gré, ou si, t'ayant persuadé par ses paroles, tu la lui as donnée volontairement."
618,Disgust,"Dis-moi avec vérité quand il est parti, et quels jeunes hommes choisis dans Ithakè l'ont suivi. Sont-ce des mercenaires ou ses esclaves ? Ils ont donc pu faire ce voyage ! Dis-moi ceci avec vérité, afin que je sache s'il t'a pris ta nef noire par force et contre ton gré, ou si, t'ayant persuadé par ses paroles, tu la lui as donnée volontairement."
619,Sadness,"Je la lui ai donnée volontairement. Comment aurais-je fait autrement ? Quand un tel homme, ayant tant de soucis, adresse une demande, il est difficile de refuser. Les jeunes hommes qui l'ont suivi sont des nôtres et les premiers du peuple, et j'ai reconnu que leur chef était Mentôr, ou un dieu qui est tout semblable à lui ; car j'admire ceci : j'ai vu le divin Mentôr, hier, au matin, et cependant il était parti sur la nef pour Pylos"
620,Disgust,"Je la lui ai donnée volontairement. Comment aurais-je fait autrement ? Quand un tel homme, ayant tant de soucis, adresse une demande, il est difficile de refuser. Les jeunes hommes qui l'ont suivi sont des nôtres et les premiers du peuple, et j'ai reconnu que leur chef était Mentôr, ou un dieu qui est tout semblable à lui ; car j'admire ceci : j'ai vu le divin Mentôr, hier, au matin, et cependant il était parti sur la nef pour Pylos !"
621,Disgust,"Ô dieux ! voici une grande action orgueilleusement accomplie, ce départ de Tèlémakhos ! Nous disions qu'il n'en serait rien, et cet enfant est parti témérairement, malgré nous, et il a traîné une nef à la mer, après avoir choisi les premiers parmi le peuple ! Il a commencé, et il nous réserve des calamités, à moins que Zeus ne rompe ses forces avant qu'il nous porte malheur. Mais donnez-moi promptement une nef rapide et vingt compagnons, afin que je lui tende une embuscade à son retour, dans le détroit d'Ithakè et de l'âpre Samos ; et, à cause de son père, il aura couru la mer pour sa propre ruine."
622,Disgust,"Ô dieux ! voici une grande action orgueilleusement accomplie, ce départ de Tèlémakhos ! Nous disions qu'il n'en serait rien, et cet enfant est parti témérairement, malgré nous, et il a traîné une nef à la mer, après avoir choisi les premiers parmi le peuple ! Il a commencé, et il nous réserve des calamités, à moins que Zeus ne rompe ses forces avant qu'il nous porte malheur. Mais donnez-moi promptement une nef rapide et vingt compagnons, afin que je lui tende une embuscade à son retour, dans le détroit d'Ithakè et de l'âpre Samos ; et, à cause de son père, il aura couru la mer pour sa propre ruine."
623,Fear,"Héraut, pourquoi les illustres prétendants t'envoient-ils ? Est-ce pour dire aux servantes du divin Odysseus de cesser de travailler afin de préparer leur repas ? Si, du moins, ils ne me recherchaient point en mariage, s'ils ne s'entretenaient point ici ni ailleurs, si, enfin, ils prenaient ici leur dernier repas ! Vous qui vous êtes rassemblés pour consumer tous les biens et la richesse du sage Tèlémakhos, n'avez-vous jamais entendu dire par vos pères, quand vous étiez enfants, quel était Odysseus parmi vos parents ? Il n'a jamais traité personne avec iniquité, ni parlé injurieusement en public, bien que ce soit le droit des rois divins de haïr l'un et d'aimer l'autre ; mais lui n'a jamais violenté un homme. Et votre mauvais esprit et vos indignes actions apparaissent, et vous n'avez nulle reconnaissance des bienfaits reçus."
624,Disgust,"Héraut, pourquoi les illustres prétendants t'envoient-ils ? Est-ce pour dire aux servantes du divin Odysseus de cesser de travailler afin de préparer leur repas ? Si, du moins, ils ne me recherchaient point en mariage, s'ils ne s'entretenaient point ici ni ailleurs, si, enfin, ils prenaient ici leur dernier repas ! Vous qui vous êtes rassemblés pour consumer tous les biens et la richesse du sage Tèlémakhos, n'avez-vous jamais entendu dire par vos pères, quand vous étiez enfants, quel était Odysseus parmi vos parents ? Il n'a jamais traité personne avec iniquité, ni parlé injurieusement en public, bien que ce soit le droit des rois divins de haïr l'un et d'aimer l'autre ; mais lui n'a jamais violenté un homme. Et votre mauvais esprit et vos indignes actions apparaissent, et vous n'avez nulle reconnaissance des bienfaits reçu"
625,Fear,"Plût aux dieux, reine, que tu subisses maintenant tes pires malheurs ! mais les prétendants méditent un dessein plus pernicieux. Que le Kroniôn ne l'accomplisse pas ! Ils veulent tuer Tèlémakhos avec l'airain aigu, à son retour dans sa demeure ; car il est parti, afin de s'informer de son père, pour la sainte Pylos et la divine Lakédaimôn."
626,Surprise,"Plût aux dieux, reine, que tu subisses maintenant tes pires malheurs ! mais les prétendants méditent un dessein plus pernicieux. Que le Kroniôn ne l'accomplisse pas ! Ils veulent tuer Tèlémakhos avec l'airain aigu, à son retour dans sa demeure ; car il est parti, afin de s'informer de son père, pour la sainte Pylos et la divine Lakédaimôn."
627,Fear,"Héraut, pourquoi mon enfant est-il parti ? Où était la nécessité de monter sur les nefs rapides qui sont pour les hommes les chevaux de la mer et qui traversent les eaux immenses ? Veut-il que son nom même soit oublié parmi les hommes ?"
628,Sadness,"Héraut, pourquoi mon enfant est-il parti ? Où était la nécessité de monter sur les nefs rapides qui sont pour les hommes les chevaux de la mer et qui traversent les eaux immenses ? Veut-il que son nom même soit oublié parmi les hommes ?"
629,Surprise,"Je ne sais si un dieu l'a poussé, ou s'il est allé de lui-même vers Pylos, afin de s'informer si son père revient ou s'il est mort."
630,Surprise,"Je ne sais si un dieu l'a poussé, ou s'il est allé de lui-même vers Pylos, afin de s'informer si son père revient ou s'il est mort."
631,Sadness,"Écoutez, amies ! les Olympiens m'ont accablée de maux entre toutes les femmes nées et nourries avec moi. J'ai perdu d'abord mon brave mari au coeur de lion, ayant toutes les vertus parmi les Danaens, illustre, et dont la gloire s'est répandue dans la grande Hellas et tout Argos ; et maintenant voici que les tempêtes ont emporté obscurément mon fils bien-aimé loin de ses demeures, sans que j'aie appris son départ ! Malheureuses ! aucune de vous n'a songé dans son esprit à me faire lever de mon lit, bien que sachant, certes, qu'il allait monter sur une nef creuse et noire. Si j'avais su qu'il se préparait à partir, ou il serait resté malgré son désir, ou il m'eût laissée morte dans cette demeure. Mais qu'un serviteur appelle le vieillard Dolios, mon esclave, que mon père me donna quand je vins ici, et qui cultive mon verger, afin qu'il aille dire promptement toutes ces choses à Laertès, et que celui-ci prenne une résolution dans son esprit, et vienne en deuil au milieu de ce peuple qui veut détruire sa race et celle du divin Odysseus."
632,Surprise,"Écoutez, amies ! les Olympiens m'ont accablée de maux entre toutes les femmes nées et nourries avec moi. J'ai perdu d'abord mon brave mari au coeur de lion, ayant toutes les vertus parmi les Danaens, illustre, et dont la gloire s'est répandue dans la grande Hellas et tout Argos ; et maintenant voici que les tempêtes ont emporté obscurément mon fils bien-aimé loin de ses demeures, sans que j'aie appris son départ ! Malheureuses ! aucune de vous n'a songé dans son esprit à me faire lever de mon lit, bien que sachant, certes, qu'il allait monter sur une nef creuse et noire. Si j'avais su qu'il se préparait à partir, ou il serait resté malgré son désir, ou il m'eût laissée morte dans cette demeure. Mais qu'un serviteur appelle le vieillard Dolios, mon esclave, que mon père me donna quand je vins ici, et qui cultive mon verger, afin qu'il aille dire promptement toutes ces choses à Laertès, et que celui-ci prenne une résolution dans son esprit, et vienne en deuil au milieu de ce peuple qui veut détruire sa race et celle du divin Odysseus."
