,Part,Text,Senticnet,PyFeel
1666,Disgust,"Maintenant, c'est contre tout le peuple que je m'irrite, contre vous qui restez assis en foule et qui n'osez point parler, ni réprimer les prétendants peu nombreux, bien que vous soyez une multitude.""",grief,positivity
1667,Angry,prétendants,,positivity
1668,Angry,Euènoride Leiôkritos,,positivity
1669,Disgust,"Mentôr, injurieux et stupide, qu'as-tu dit ? Tu nous exhortes à nous retirer ! Certes, il serait difficile de chasser violemment du festin tant de jeunes hommes. Même si l'Ithakèsien Odysseus, survenant lui-même, songeait dans son esprit à chasser les illustres prétendants assis au festin dans sa demeure, certes, sa femme, bien qu'elle le désire ardemment, ne se réjouirait point alors de le revoir, car il rencontrerait une mort honteuse, s'il combattait contre un si grand nombre. Tu n'as donc point bien parlé. Allons ! dispersons-nous, et que chacun retourne à ses travaux. Mentôr et Halithersès prépareront le voyage de Tèlémakhos, puisqu'ils sont dès sa naissance ses amis paternels. Mais je pense qu'il restera longtemps ici, écoutant des nouvelles dans Ithakè, et qu'il n'accomplira point son dessein",ecstasy,positivity
1670,Surprise,"Mentôr, injurieux et stupide, qu'as-tu dit ? Tu nous exhortes à nous retirer ! Certes, il serait difficile de chasser violemment du festin tant de jeunes hommes. Même si l'Ithakèsien Odysseus, survenant lui-même, songeait dans son esprit à chasser les illustres prétendants assis au festin dans sa demeure, certes, sa femme, bien qu'elle le désire ardemment, ne se réjouirait point alors de le revoir, car il rencontrerait une mort honteuse, s'il combattait contre un si grand nombre. Tu n'as donc point bien parlé. Allons ! dispersons-nous, et que chacun retourne à ses travaux. Mentôr et Halithersès prépareront le voyage de Tèlémakhos, puisqu'ils sont dès sa naissance ses amis paternels. Mais je pense qu'il restera longtemps ici, écoutant des nouvelles dans Ithakè, et qu'il n'accomplira point son dessein",ecstasy,positivity
1671,Angry,Mentôr,,positivity
1672,Angry,prétendants,,positivity
1673,Angry,Tèlémakhos,,positivity
1674,Angry,Athènè,,positivity
1675,Fear,"Entends-moi, déesse qui es venue hier dans ma demeure, et qui m'as ordonné d'aller sur une nef, à travers la mer sombre, m'informer de mon père depuis longtemps absent. Et voici que les Akhaiens m'en empêchent, et surtout les orgueilleux prétendants.",ecstasy,positivity
1676,Sadness,"Entends-moi, déesse qui es venue hier dans ma demeure, et qui m'as ordonné d'aller sur une nef, à travers la mer sombre, m'informer de mon père depuis longtemps absent. Et voici que les Akhaiens m'en empêchent, et surtout les orgueilleux prétendants.",ecstasy,positivity
1677,Angry,Athènè,,positivity
1678,Angry,Mentôr,,positivity
1679,Fear,"Tèlemakhos, tu ne seras ni un lâche, ni un insensé, si l'excellent esprit de ton père est en toi, tel qu'il le possédait pour parler et pour agir, et ton voyage ne sera ni inutile, ni imparfait. Si tu n'étais le fils d'Odysseus et de Pènélopéia, je n'espérerais pas que tu pusses accomplir ce que tu entreprends, car peu de fils sont semblables à leur père. La plupart sont moindres, peu son meilleurs que leurs parents. Mais tu ne seras ni un lâche, ni un insensé, puisque l'intelligence d'Odysseus est restée en toi, et tu dois espérer accomplir ton dessein. C'est pourquoi oublie les projets et les résolutions des prétendants insensés, car ils ne sont ni prudents, ni équitables, et ils ne songent point à la mort et à la kèr noire qui vont les faire périr tous en un seul jour. Ne tarde donc pas plus longtemps à faire ce que tu as résolu. Moi qui suis le compagnon de ton père, je te préparerai une nef rapide et je t'accompagnerai.",ecstasy,positivity
1680,Surprise,"Tèlemakhos, tu ne seras ni un lâche, ni un insensé, si l'excellent esprit de ton père est en toi, tel qu'il le possédait pour parler et pour agir, et ton voyage ne sera ni inutile, ni imparfait. Si tu n'étais le fils d'Odysseus et de Pènélopéia, je n'espérerais pas que tu pusses accomplir ce que tu entreprends, car peu de fils sont semblables à leur père. La plupart sont moindres, peu son meilleurs que leurs parents. Mais tu ne seras ni un lâche, ni un insensé, puisque l'intelligence d'Odysseus est restée en toi, et tu dois espérer accomplir ton dessein. C'est pourquoi oublie les projets et les résolutions des prétendants insensés, car ils ne sont ni prudents, ni équitables, et ils ne songent point à la mort et à la kèr noire qui vont les faire périr tous en un seul jour. Ne tarde donc pas plus longtemps à faire ce que tu as résolu. Moi qui suis le compagnon de ton père, je te préparerai une nef rapide et je t'accompagnera",ecstasy,positivity
1681,Fear,"""Mais retourne à ta demeure te mêler aux prétendants. Apprête nos vivres ; enferme le vin dans les amphores, et, dans les outres épaisses, la farine, moelle des hommes. Moi, je te réunirai des compagnons volontaires parmi le peuple. Il y a beaucoup de nefs, neuves et vieilles, dans Ithakè entourée des flots. Je choisirai la meilleure de toutes, et nous la conduirons, bien armée, sur la mer vaste",ecstasy,positivity
1682,e_1,"Mais retourne à ta demeure te mêler aux prétendants. Apprête nos vivres ; enferme le vin dans les amphores, et, dans les outres épaisses, la farine, moelle des hommes. Moi, je te réunirai des compagnons volontaires parmi le peuple. Il y a beaucoup de nefs, neuves et vieilles, dans Ithakè entourée des flots. Je choisirai la meilleure de toutes, et nous la conduirons, bien armée, sur la mer vaste.",ecstasy,positivity
1683,Angry,Athènè,,positivity
1684,Angry,Tèlémakhos,,positivity
1685,Angry,prétendants,,positivity
1686,Angry,Antinoos,,positivity
1687,Angry,Tèlémakhos,,positivity
1688,Fear,"Tèlémakhos, agorète orgueilleux et plein de colère, qu'il n'y ait plus dans ton coeur ni soucis, ni mauvais desseins. Mange et bois en paix comme auparavant. Les Akhaiens agiront pour toi. Ils choisiront une nef et des rameurs, afin que tu ailles promptement à la divine Pylos t'informer de ton illustre père.",ecstasy,positivity
1689,Surprise,"Tèlémakhos, agorète orgueilleux et plein de colère, qu'il n'y ait plus dans ton coeur ni soucis, ni mauvais desseins. Mange et bois en paix comme auparavant. Les Akhaiens agiront pour toi. Ils choisiront une nef et des rameurs, afin que tu ailles promptement à la divine Pylos t'informer de ton illustre père.",ecstasy,positivity
1690,Angry,Tèlémakhos,,positivity
1691,Fear,"Antinoos, il ne m'est plus permis de m'asseoir au festin et de me réjouir en paix avec vous, orgueilleux ! N'est-ce pas assez, prétendants, que vous ayez déjà dévoré mes meilleures richesses, tandis que j'étais enfant ? Maintenant, je suis plus grand, et j'ai écouté les conseils des autres hommes, et la colère a grandi dans mon coeur. Je tenterai donc de vous apporter la kèr fatale, soit en allant à Pylos, soit ici, par le peuple. Certes, je partirai, et mon voyage ne sera point inutile. J'irai sur une nef louée, puisque je n'ai moi-même ni nef, ni rameurs, et qu'il vous a plu de m'en réduire là.",ecstasy,positivity
1692,Disgust,"Antinoos, il ne m'est plus permis de m'asseoir au festin et de me réjouir en paix avec vous, orgueilleux ! N'est-ce pas assez, prétendants, que vous ayez déjà dévoré mes meilleures richesses, tandis que j'étais enfant ? Maintenant, je suis plus grand, et j'ai écouté les conseils des autres hommes, et la colère a grandi dans mon coeur. Je tenterai donc de vous apporter la kèr fatale, soit en allant à Pylos, soit ici, par le peuple. Certes, je partirai, et mon voyage ne sera point inutile. J'irai sur une nef louée, puisque je n'ai moi-même ni nef, ni rameurs, et qu'il vous a plu de m'en réduire là",ecstasy,positivity
1693,Angry,Antinoos,,positivity
1694,Angry,Prétendants,,positivity
1695,Angry,Tèlémakhos,,positivity
1696,Fear,"Certes, voici que Tèlémakhos médite notre destruction, soit qu'il ramène des alliés de la sablonneuse Pylos, soit qu'il en ramène de Spartè. Il le désire du moins avec ardeur. Peut-être aussi veut-il aller dans la fertile terre d'Ephyrè, afin d'en rapporter des poisons mortels qu'il jettera dans nos kratères pour nous tuer tous",ecstasy,positivity
1697,Disgust,"Certes, voici que Tèlémakhos médite notre destruction, soit qu'il ramène des alliés de la sablonneuse Pylos, soit qu'il en ramène de Spartè. Il le désire du moins avec ardeur. Peut-être aussi veut-il aller dans la fertile terre d'Ephyrè, afin d'en rapporter des poisons mortels qu'il jettera dans nos kratères pour nous tuer tou",ecstasy,positivity
1698,Angry,un autre de ces jeunes hommes orgueilleux,responsiveness,angry
1699,Fear,"Qui sait si, une fois parti sur sa nef creuse, il ne périra pas loin des siens, ayant erré comme Odysseus ? Il nous donnerait ainsi un plus grand travail. Nous aurions à partager ses biens, et nous donnerions cette demeure à sa mère et à celui qu'elle épouserait.",ecstasy,positivity
1700,Disgust,"Qui sait si, une fois parti sur sa nef creuse, il ne périra pas loin des siens, ayant erré comme Odysseus ? Il nous donnerait ainsi un plus grand travail. Nous aurions à partager ses biens, et nous donnerions cette demeure à sa mère et à celui qu'elle épouserait.",ecstasy,positivity
1701,Angry,Tèlémakhos,,positivity
1702,Angry,Eurykléia,,positivity
1703,Angry,Tèlémakhos,,positivity
1704,Sadness,"Nourrice, puise dans les amphores le plus doux de ces vins parfumés que tu conserves dans l'attente d'un homme très-malheureux, du divin Odysseus, s'il revient jamais, ayant évité la kèr et la mort. Emplis douze vases et ferme-les de leurs couvercles. Verse de la farine dans des outres bien cousues, et qu'il y en ait vingt mesures. Que tu le saches seule, et réunis toutes ces provisions, je les prendrai à la nuit, quand ma mère sera retirée dans sa chambre, désirant son lit. Je vais à Spartè et à la sablonneuse Pylos pour m'informer du retour de mon père bien-aimé.",ecstasy,positivity
1705,Disgust,"Nourrice, puise dans les amphores le plus doux de ces vins parfumés que tu conserves dans l'attente d'un homme très-malheureux, du divin Odysseus, s'il revient jamais, ayant évité la kèr et la mort. Emplis douze vases et ferme-les de leurs couvercles. Verse de la farine dans des outres bien cousues, et qu'il y en ait vingt mesures. Que tu le saches seule, et réunis toutes ces provisions, je les prendrai à la nuit, quand ma mère sera retirée dans sa chambre, désirant son lit. Je vais à Spartè et à la sablonneuse Pylos pour m'informer du retour de mon père bien-aimé.""",ecstasy,positivity
1706,Angry,Eurykléia,,positivity
1707,Fear,"Pourquoi, cher enfant, as-tu cette pensée ? Tu veux aller à travers tant de pays, ô fils unique et bien-aimé ? Mais le divin Odysseus est mort, loin de la terre de la patrie, chez un peuple inconnu. Et les prétendants te tendront aussitôt des pièges, et tu périras par ruse, et ils partageront tes biens. Reste donc ici auprès des tiens ! Il ne faut pas que tu subisses des maux et que tu erres sur la mer indomptée.",ecstasy,positivity
1708,Sadness,"Pourquoi, cher enfant, as-tu cette pensée ? Tu veux aller à travers tant de pays, ô fils unique et bien-aimé ? Mais le divin Odysseus est mort, loin de la terre de la patrie, chez un peuple inconnu. Et les prétendants te tendront aussitôt des pièges, et tu périras par ruse, et ils partageront tes biens. Reste donc ici auprès des tiens ! Il ne faut pas que tu subisses des maux et que tu erres sur la mer indomptée.",ecstasy,positivity
1709,Angry,Tèlémakhos,,positivity
1710,Surprise,"Rassure-toi, nourrice ; ce dessein n'est point sans l'avis d'un dieu. Mais jure que tu ne diras rien à ma chère mère avant onze ou douze jours, à moins qu'elle me demande ou qu'elle sache que je suis parti, de peur qu'en pleurant elle blesse son beau corps.",grief,positivity
1711,Sadness,"Rassure-toi, nourrice ; ce dessein n'est point sans l'avis d'un dieu. Mais jure que tu ne diras rien à ma chère mère avant onze ou douze jours, à moins qu'elle me demande ou qu'elle sache que je suis parti, de peur qu'en pleurant elle blesse son beau corps.""",grief,positivity
1712,Angry,Tèlémakhos,,positivity
1713,Angry,Prétendants,,positivity
1714,Angry,Athènè,,positivity
1715,Angry,Tèlémakhos,,positivity
1716,Angry,Athènè,,positivity
1717,Angry,Athènè,,positivity
1718,Angry,Prétendants,,positivity
1719,Angry,Athènè,,positivity
1720,Angry,Tèlémakhos,,positivity
1721,Angry,Mentôr,,positivity
1722,Fear,"Tèlémakhos, déjà tes compagnons aux belles knèmides sont assis, l'aviron aux mains, prêts à servir ton ardeur. Allons, et ne tardons pas plus longtemps à faire route.",ecstasy,positivity
1723,e_1,"èlémakhos, déjà tes compagnons aux belles knèmides sont assis, l'aviron aux mains, prêts à servir ton ardeur. Allons, et ne tardons pas plus longtemps à faire route.",ecstasy,positivity
1724,Angry,Athènè,,positivity
1725,Angry,Tèlémakhos,,positivity
1726,Fear,"Venez, amis. Emportons les provisions qui sont préparées dans ma demeure. Ma mère et ses femmes ignorent tout. Ma nourrice seule est instruite.",ecstasy,positivity
1727,e_1,"Venez, amis. Emportons les provisions qui sont préparées dans ma demeure. Ma mère et ses femmes ignorent tout. Ma nourrice seule est instruite.",ecstasy,positivity
1728,Angry,cher fils d'Odysseus,grief,sadness
1729,Angry,Tèlémakhos,,positivity
1730,Angry,Athènè,,positivity
1731,Angry,Tèlémakhos,,positivity
1732,Angry,Athènè,,positivity
1733,Angry,Tèlémakhos,,positivity
1734,e_1,Poseidaôn,,positivity
1735,Fear,Poseidaôn,,positivity
1736,Angry,Tèlémakhos,,positivity
1737,Angry,Athènè,,positivity
1738,e_1,Athènè,,positivity
1739,Angry,Athènè,,positivity
1740,Surprise,"""– Tèlémakhos, il ne te convient plus d'être timide, maintenant que tu as traversé la mer pour l'amour de ton père, afin de t'informer quelle terre le renferme, et quelle a été sa destinée. Allons ! va droit au dompteur de chevaux Nestôr, et voyons quelle pensée il cache dans sa poitrine. Supplie-le de te dire la vérité. Il ne mentira pas, car il est plein de sagesse.""",ecstasy,positivity
1741,Fear,"Tèlémakhos, il ne te convient plus d'être timide, maintenant que tu as traversé la mer pour l'amour de ton père, afin de t'informer quelle terre le renferme, et quelle a été sa destinée. Allons ! va droit au dompteur de chevaux Nestôr, et voyons quelle pensée il cache dans sa poitrine. Supplie-le de te dire la vérité. Il ne mentira pas, car il est plein de sagesse",ecstasy,positivity
1742,Angry,l ne te convient plus d'être timide,grief,positivity
1743,Angry,Tèlémakhos,,positivity
1744,Fear,"Mentôr, comment l'aborder et comment le saluer ? Je n'ai point l'expérience des sages discours, et un jeune homme a quelque honte d'interroger un vieillard.",bliss,positivity
1745,Surprise,"Mentôr, comment l'aborder et comment le saluer ? Je n'ai point l'expérience des sages discours, et un jeune homme a quelque honte d'interroger un vieillard.""",bliss,positivity
1746,Angry,Athènè,,positivity
1747,Fear,"Tèlémakhos, tu y songeras dans ton esprit, ou un dieu te l'inspirera, car je ne pense pas que tu sois né et que tu aies été élevé sans la bienveillance des dieux.",ecstasy,positivity
1748,Surprise,"Tèlémakhos, tu y songeras dans ton esprit, ou un dieu te l'inspirera, car je ne pense pas que tu sois né et que tu aies été élevé sans la bienveillance des dieux.""",ecstasy,positivity
1749,Angry,Athènè,,positivity
1750,Angry,Nestôr,,positivity
1751,Angry,Athènè,,positivity
1752,Surprise,"Maintenant, ô mon hôte, supplie le roi Poseidaôn. Ce festin auquel vous venez tous deux prendre part est à lui. Après avoir fait des libations et imploré le dieu, comme il convient, donne cette coupe de vin doux à ton compagnon, afin qu'il fasse à son tour des libations. Je pense qu'il supplie aussi les immortels. Tous les hommes ont besoin des dieux. Mais il est plus jeune que toi et semble être de mon âge, c'est pourquoi je te donne d'abord cette coupe d'or",grief,positivity
1753,Disgust,"Maintenant, ô mon hôte, supplie le roi Poseidaôn. Ce festin auquel vous venez tous deux prendre part est à lui. Après avoir fait des libations et imploré le dieu, comme il convient, donne cette coupe de vin doux à ton compagnon, afin qu'il fasse à son tour des libations. Je pense qu'il supplie aussi les immortels. Tous les hommes ont besoin des dieux. Mais il est plus jeune que toi et semble être de mon âge, c'est pourquoi je te donne d'abord cette coupe d'or",grief,positivity
1754,e_1,Poseidaôn,,positivity
1755,Angry,Athènè,,positivity
1756,e_1,Poseidaôn,,positivity
1757,Fear,"Entends-moi, Poseidaôn qui contient la terre ! Ne nous refuse pas, à nous qui t'en supplions, d'accomplir notre dessein. Glorifie d'abord Nestôr et ses fils, et sois aussi favorable à tous les Pyliens en récompense de cette illustre hécatombe. Fais, enfin, que Tèlémakhos et moi nous retournions, ayant accompli l'oeuvre pour laquelle nous sommes venus sur une nef noire et rapide.",ecstasy,positivity
1758,Disgust,"Entends-moi, Poseidaôn qui contient la terre ! Ne nous refuse pas, à nous qui t'en supplions, d'accomplir notre dessein. Glorifie d'abord Nestôr et ses fils, et sois aussi favorable à tous les Pyliens en récompense de cette illustre hécatombe. Fais, enfin, que Tèlémakhos et moi nous retournions, ayant accompli l'oeuvre pour laquelle nous sommes venus sur une nef noire et rapide.""",ecstasy,positivity
1759,e_1,Poseidaôn,,positivity
1760,Angry,Tèlémakhos,,positivity
1761,Angry,Gérennien Nestôr,,positivity
1762,Fear,"Maintenant, nous pouvons demander qui sont nos hôtes, puisqu'ils sont rassasiés de nourriture.",enthusiasm,positivity
1763,Surprise,"Maintenant, nous pouvons demander qui sont nos hôtes, puisqu'ils sont rassasiés de nourriture.",enthusiasm,positivity
1764,Surprise,"Ô nos hôtes, qui êtes-vous ? Naviguez-vous pour quelque trafic, ou bien, à l'aventure, comme des pirates qui, jouant leur vie, portent le malheur aux étrangers",rage,positivity
1765,Sadness,"Ô nos hôtes, qui êtes-vous ? Naviguez-vous pour quelque trafic, ou bien, à l'aventure, comme des pirates qui, jouant leur vie, portent le malheur aux étrangers ?",rage,positivity
1766,Angry,Tèlémakhos,,positivity
1767,Angry,Athènè,,positivity
1768,Sadness,"– Ô Nestôr Nèlèiade, grande gloire des Akhaiens, tu demandes d'où nous sommes, et je puis te le dire. Nous venons d'Ithakè, sous le Nèios, pour un intérêt privé, et non public, que je t'apprendrai. Je cherche à entendre parler de l'immense gloire de mon père, le divin et patient Odysseus qui, autrefois, dit-on, combattant avec toi, a renversé la ville des Troiens. Nous avons su dans quel lieu chacun de ceux qui combattaient contre les Troiens a subi la mort cruelle ; mais le Kroniôn, au seul Odysseus, a fait une mort ignorée ; et aucun ne peut dire où il a péri, s'il a été dompté sur la terre ferme par des hommes ennemis, ou dans la mer, sous les écumes d'Amphitrite. C'est pour lui que je viens, à tes genoux, te demander de me dire, si tu le veux, quelle a été sa mort cruelle, soit que tu l'aies vue de tes yeux, soit que tu l'aies apprise de quelque voyageur ; car sa mère l'a enfanté pour être très malheureux. Ne me flatte point d'espérances vaines, par compassion ; mais parle-moi ouvertement, je t'en supplie, si jamais mon père, l'excellent Odysseus, soit par ses paroles, soit par ses actions, a tenu les promesses qu'il t'avait faites, chez le peuple des Troiens, où vous, Akhaiens, avez subi tant de maux. Souviens-t'en maintenant, et dis-moi la vérité.""",ecstasy,positivity
1769,Fear,"Ô Nestôr Nèlèiade, grande gloire des Akhaiens, tu demandes d'où nous sommes, et je puis te le dire. Nous venons d'Ithakè, sous le Nèios, pour un intérêt privé, et non public, que je t'apprendrai. Je cherche à entendre parler de l'immense gloire de mon père, le divin et patient Odysseus qui, autrefois, dit-on, combattant avec toi, a renversé la ville des Troiens. Nous avons su dans quel lieu chacun de ceux qui combattaient contre les Troiens a subi la mort cruelle ; mais le Kroniôn, au seul Odysseus, a fait une mort ignorée ; et aucun ne peut dire où il a péri, s'il a été dompté sur la terre ferme par des hommes ennemis, ou dans la mer, sous les écumes d'Amphitrite. C'est pour lui que je viens, à tes genoux, te demander de me dire, si tu le veux, quelle a été sa mort cruelle, soit que tu l'aies vue de tes yeux, soit que tu l'aies apprise de quelque voyageur ; car sa mère l'a enfanté pour être très malheureux. Ne me flatte point d'espérances vaines, par compassion ; mais parle-moi ouvertement, je t'en supplie, si jamais mon père, l'excellent Odysseus, soit par ses paroles, soit par ses actions, a tenu les promesses qu'il t'avait faites, chez le peuple des Troiens, où vous, Akhaiens, avez subi tant de maux. Souviens-t'en maintenant, et dis-moi la vérité.",ecstasy,positivity
1770,Angry,Gérennien Nestôr,,positivity
1771,Fear,"Ô ami, tu me fais souvenir des maux que nous, fils indomptables des Akhaiens, nous avons subis chez le peuple Troien, soit en poursuivant notre proie, sur nos nefs, à travers la mer sombre, et conduits par Akhilleus, soit en combattant autour de la grande ville du roi Priamos, là où tant de guerriers excellents ont été tués. C'est là que gisent le brave Aias, et Akhilleus, et Patroklos semblable aux dieux par la sagesse, et mon fils bien-aimé Antilokhos, robuste et irréprochable, habile à la course et courageux combattant. Et nous avons subi bien d'autres maux, et nul, parmi les hommes mortels, ne pourrait les raconter tous. Et tu pourrais rester ici et m'interroger pendant cinq ou six ans, que tu retournerais, plein de tristesse, dans la terre de la patrie, avant de connaître tous les maux subis par les divins Akhaiens. Et, pendant neuf ans, nous avons assiégé Troiè par mille ruses, et le Kroniôn ne nous donna la victoire qu'avec peine. Là, nul n'égala jamais le divin Odysseus par la sagesse, car ton père l'emportait sur tous par ses ruses sans nombre, si vraiment tu es son fils",terror,positivity
1772,Sadness,"Ô ami, tu me fais souvenir des maux que nous, fils indomptables des Akhaiens, nous avons subis chez le peuple Troien, soit en poursuivant notre proie, sur nos nefs, à travers la mer sombre, et conduits par Akhilleus, soit en combattant autour de la grande ville du roi Priamos, là où tant de guerriers excellents ont été tués. C'est là que gisent le brave Aias, et Akhilleus, et Patroklos semblable aux dieux par la sagesse, et mon fils bien-aimé Antilokhos, robuste et irréprochable, habile à la course et courageux combattant. Et nous avons subi bien d'autres maux, et nul, parmi les hommes mortels, ne pourrait les raconter tous. Et tu pourrais rester ici et m'interroger pendant cinq ou six ans, que tu retournerais, plein de tristesse, dans la terre de la patrie, avant de connaître tous les maux subis par les divins Akhaiens. Et, pendant neuf ans, nous avons assiégé Troiè par mille ruses, et le Kroniôn ne nous donna la victoire qu'avec peine. Là, nul n'égala jamais le divin Odysseus par la sagesse, car ton père l'emportait sur tous par ses ruses sans nombre, si vraiment tu es son fils.""",terror,positivity
1773,Fear,"Mais l'admiration me saisit en te regardant. Tes paroles sont semblables aux siennes, et on ne te croirait pas si jeune, tant tu sais parler comme lui. Là-bas, jamais le divin Odysseus et moi, dans l'agora ou dans le conseil, nous n'avons parlé différemment ; et nous donnions aux Akhaiens les meilleurs avis, ayant le même esprit et la même sagesse",grief,positivity
1774,e_1,"Mais l'admiration me saisit en te regardant. Tes paroles sont semblables aux siennes, et on ne te croirait pas si jeune, tant tu sais parler comme lui. Là-bas, jamais le divin Odysseus et moi, dans l'agora ou dans le conseil, nous n'avons parlé différemment ; et nous donnions aux Akhaiens les meilleurs avis, ayant le même esprit et la même sagess",grief,positivity
1775,Fear,"Enfin, après avoir renversé la haute citadelle de Priamos, nous partîmes sur nos nefs, et un dieu dispersa les Akhaiens. Déjà Zeus, sans doute, préparait, dans son esprit, un triste retour aux Akhaiens ; car tous n'étaient point prudents et justes, et une destinée terrible était réservée à beaucoup d'entre eux, à cause de la colère d'Athènè aux yeux clairs qui a un père effrayant, et qui jeta la discorde entre les deux Atréides. Et ceux-ci avaient convoqué tous les Akhaiens à l'agora, sans raison et contre l'usage, au coucher de Hèlios, et les fils des Akhaiens y vinrent, alourdis par le vin, et les Atréides leur expliquèrent pourquoi ils avaient convoqué le peuple. Alors Ménélaos leur ordonna de songer au retour sur le vaste dos de la mer ; mais cela ne plut point à Agamemnôn, qui voulait retenir le peuple et sacrifier de saintes hécatombes, afin d'apaiser la violente colère d'Athènè. Et l'insensé ne savait pas qu'il ne pourrait l'apaiser, car l'esprit des Dieux éternels ne change point aussi vite. Et tandis que les Atréides, debout, se disputaient avec d'âpres paroles, tous les Akhaiens aux belles knèmides se levèrent, dans une grande clameur, pleins de résolutions contraires",ecstasy,positivity
1776,Disgust,"Enfin, après avoir renversé la haute citadelle de Priamos, nous partîmes sur nos nefs, et un dieu dispersa les Akhaiens. Déjà Zeus, sans doute, préparait, dans son esprit, un triste retour aux Akhaiens ; car tous n'étaient point prudents et justes, et une destinée terrible était réservée à beaucoup d'entre eux, à cause de la colère d'Athènè aux yeux clairs qui a un père effrayant, et qui jeta la discorde entre les deux Atréides. Et ceux-ci avaient convoqué tous les Akhaiens à l'agora, sans raison et contre l'usage, au coucher de Hèlios, et les fils des Akhaiens y vinrent, alourdis par le vin, et les Atréides leur expliquèrent pourquoi ils avaient convoqué le peuple. Alors Ménélaos leur ordonna de songer au retour sur le vaste dos de la mer ; mais cela ne plut point à Agamemnôn, qui voulait retenir le peuple et sacrifier de saintes hécatombes, afin d'apaiser la violente colère d'Athènè. Et l'insensé ne savait pas qu'il ne pourrait l'apaiser, car l'esprit des Dieux éternels ne change point aussi vite. Et tandis que les Atréides, debout, se disputaient avec d'âpres paroles, tous les Akhaiens aux belles knèmides se levèrent, dans une grande clameur, pleins de résolutions contraires.""",ecstasy,positivity
1777,Angry,Athènè,,positivity
1778,Angry,Athènè,,positivity
1779,e_1,Poseidaôn,,positivity
1780,Angry,Tèlémakhos,,positivity
1781,Fear,"Ô Nestôr Nèlèiade, grande gloire des Akhaiens, certes, Orestès a tiré une juste vengeance, et tous les Akhaiens l'en glorifient, et les hommes futurs l'en glorifieront. Plût aux dieux que j'eusse la force de faire expier aux prétendants les maux qu'ils me font et l'opprobre dont ils me couvrent. Mais les dieux ne nous ont point destinés à être honorés, mon père et moi, et, maintenant, il me faut tout subir avec patience.",ecstasy,positivity
1782,Disgust,"Ô Nestôr Nèlèiade, grande gloire des Akhaiens, certes, Orestès a tiré une juste vengeance, et tous les Akhaiens l'en glorifient, et les hommes futurs l'en glorifieront. Plût aux dieux que j'eusse la force de faire expier aux prétendants les maux qu'ils me font et l'opprobre dont ils me couvrent. Mais les dieux ne nous ont point destinés à être honorés, mon père et moi, et, maintenant, il me faut tout subir avec patience.",ecstasy,positivity
1783,Angry,Gérennien Nestôr,,positivity
1784,Fear,"Ô ami, ce que tu me dis m'a été rapporté, que de nombreux prétendants, à cause de ta mère, t'opprimaient dans ta demeure. Mais, dis-moi, souffres-tu ces maux sans résistance, ou bien les peuples, obéissant à l'oracle d'un dieu, t'ont-ils pris en haine ! Qui sait si Odysseus ne châtiera pas un jour leur iniquité violente, seul, ou aidé de tous les Akhaiens ? Qu'Athènè aux yeux clairs puisse t'aimer autant qu'elle aimait le glorieux Odysseus, chez le peuple des Troiens, où, nous, Akhaiens, nous avons subi tant de maux ! Non, je n'ai jamais vu les Dieux aimer aussi manifestement un homme que Pallas Athènè aimait Odysseus. Si elle voulait t'aimer ainsi et te protéger, chacun des prétendants oublierait bientôt ses désirs de noces !",ecstasy,positivity
1785,Disgust,"Ô ami, ce que tu me dis m'a été rapporté, que de nombreux prétendants, à cause de ta mère, t'opprimaient dans ta demeure. Mais, dis-moi, souffres-tu ces maux sans résistance, ou bien les peuples, obéissant à l'oracle d'un dieu, t'ont-ils pris en haine ! Qui sait si Odysseus ne châtiera pas un jour leur iniquité violente, seul, ou aidé de tous les Akhaiens ? Qu'Athènè aux yeux clairs puisse t'aimer autant qu'elle aimait le glorieux Odysseus, chez le peuple des Troiens, où, nous, Akhaiens, nous avons subi tant de maux ! Non, je n'ai jamais vu les Dieux aimer aussi manifestement un homme que Pallas Athènè aimait Odysseus. Si elle voulait t'aimer ainsi et te protéger, chacun des prétendants oublierait bientôt ses désirs de noces !""",ecstasy,positivity
1786,Angry,Athènè,,positivity
1787,Angry,Athènè,,positivity
1788,Angry,Tèlémakhos,,positivity
1789,Fear,"Ô vieillard, je ne pense pas que ceci arrive jamais. Les grandes choses que tu prévois me troublent et me jettent dans la stupeur. Elles tromperaient mes espérances, même si les dieux le voulaient",grief,positivity
1790,Sadness,"Ô vieillard, je ne pense pas que ceci arrive jamais. Les grandes choses que tu prévois me troublent et me jettent dans la stupeur. Elles tromperaient mes espérances, même si les dieux le voulaient.""",grief,positivity
1791,Angry,Athènè,,positivity
1792,Fear,"Tèlémakhos, quelle parole s'est échappée d'entre tes dents ! Un dieu peut aisément sauver un homme, même de loin. J'aimerais mieux, après avoir subi de nombreuses douleurs, revoir le jour du retour et revenir dans ma demeure, plutôt que de périr à mon arrivée, comme Agamemnôn par la perfidie d'Aigisthos et de Klytaimnestrè. Cependant, les dieux eux-mêmes ne peuvent éloigner de l'homme qu'ils aiment la mort commune à tous, quand la Moire fatale de la rude mort doit les saisir",ecstasy,positivity
